:David_Hartley_(philosopher) [http]     :William_James [http]
:Paul_Otlet [http]      :Luciano_Floridi [http]
:Richard_Brautigan [http]       :Philippe_Djian [http]
:Alexius_Meinong [http] :Roderick_Chisholm [http]
:Arcesilaus [http]      :Lacydes_of_Cyrene [http]
:Alfred_North_Whitehead [http]  :Nicholas_Rescher [http]
:Bernard_Stiegler [http]        :Daniel_Ross_(philosopher) [http]
:Donald_Barthelme [http]        :Donald_Antrim [http]
:Paul_Romer [http]      :Lars_Pålsson_Syll [http]
:Rodney_Brooks [http]   :Andy_Clark [http]
:Lois_Lowry [http]      :Aprilynne_Pike [http]
:Ted_Chiang [http]      :Daniel_Abraham_(author) [http]
:Alan_Moore [http]      :Dax_Riggs [http]
:William_Carlos_Williams [http] :Denise_Levertov [http]
:Anita_Mui [http]       :Eason_Chan [http]
:Alan_Moore [http]      :Kurt_Busiek [http]
:Rodney_Dangerfield [http]      :Norm_Macdonald [http]
:Nalî [http]    :Riza_Talabani [http]
:Otto_Rank [http]       :Rollo_May [http]
:Philippa_Foot [http]   :Rosalind_Hursthouse [http]
:Robert_W._Chambers [http]      :Seabury_Quinn [http]
:Richard_Brautigan [http]       :W._P._Kinsella [http]
:Robert_Southey [http]  :Ebenezer_Elliott [http]
:Sándor_Ferenczi [http] :Nicolas_Abraham [http]
:René_Guénon [http]     :Michel_Valsan [http]
:Srečko_Kosovel [http]  :Aleš_Debeljak [http]
:Josip_Murn [http]      :Alojz_Gradnik [http]
:Srečko_Kosovel [http]  :Alojz_Rebula [http]
:Bernard_Cornwell [http]        :Angus_Donald [http]
:Richard_Hofstadter [http]      :Arthur_M._Schlesinger,_Jr. [http]
:Srečko_Kosovel [http]  :Boris_Pahor [http]
:Jack_Smith_(film_director) [http]      :Cindy_Sherman [http]
:Robert_B._Parker [http]        :Colin_Bateman [http]
:Jack_Vance [http]      :Dean_Koontz [http]
:Yayoi_Kusama [http]    :Donald_Judd [http]
:Alexander_Pushkin [http]       :Dylan_Thomas [http]
:John_Clare [http]      :Edmund_Blunden [http]
:Siegfried_Sassoon [http]       :Edmund_Blunden [http]
:Liviu_Rebreanu [http]  :Emilio_Salgari [http]
:Alexandre_Dumas [http] :Emilio_Salgari [http]
:Donald_Barthelme [http]        :Eric_Miles_Williamson [http]
:Josip_Murn [http]      :France_Balantič [http]
:Srečko_Kosovel [http]  :France_Balantič [http]
:Per_Wahlöö [http]      :Henning_Mankell [http]
