"Michael Moorcock","Colin Greenland"
"Lewis Black","Dara Ó Briain"
"Kitaro Nishida","Hajime Tanabe"
"Michael Moorcock","Hiroyuki Morioka"
"Larry David","Jack Dee"
"Jack London","Jim Allen"
"J. D. Salinger","John Green"
"Gertrude Stein","Michael Palmer"
"Kitaro Nishida","Tetsuro Watsuji"
"Hannah Arendt","Alain Finkielkraut"
"P. F. Strawson","Joshua Knobe"
"H. G. Wells","C. S. Lewis"
"George Orwell","Christopher Hitchens"
"Kingsley Amis","Christopher Hitchens"
"John Stuart Mill","Christopher Hitchens"
"Gottfried Wilhelm Leibniz","David Hume"
"Montesquieu","David Hume"
"Niccolò Machiavelli","David Hume"
"Nicolas Malebranche","David Hume"
"Pierre Bayle","David Hume"
"Jean-Paul Sartre","Doris Lessing"
"Henry David Thoreau","E. O. Wilson"
"Paul Strand","Edward Hopper"
"Henri Barbusse","Erich Maria Remarque"
"H. G. Wells","Frank Herbert"
"Gottfried Wilhelm Leibniz","Friedrich Nietzsche"
"Jean-Jacques Rousseau","Friedrich Nietzsche"
"Max Stirner","Friedrich Nietzsche"
"Michel de Montaigne","Friedrich Nietzsche"
"Niccolò Machiavelli","Friedrich Nietzsche"
"Gottfried Wilhelm Leibniz","Immanuel Kant"
"Jean-Jacques Rousseau","Immanuel Kant"
"Nicholas of Cusa","Immanuel Kant"
"Paul Feyerabend","Imre Lakatos"
"Jean-Jacques Rousseau","Johann Gottlieb Fichte"
"Hafez","Johann Wolfgang von Goethe"
"Jean-Jacques Rousseau","Johann Wolfgang von Goethe"
"Lucian","Johann Wolfgang von Goethe"
"Pierre Gassendi","John Locke"
"Jean-Paul Sartre","Kenzaburō Ōe"
"Jean-Jacques Rousseau","Maria Montessori"
"Jules Verne","Michel Butor"
"Isadora Duncan","Michel Fokine"
"Ludwig von Mises","Milton Friedman"
"George Orwell","Noam Chomsky"
"Paul Gauguin","Pablo Picasso"
"Michel de Montaigne","René Descartes"
"Jack London","Robert E. Howard"
"H. G. Wells","Stan Lee"
"Leopold Staff","Tadeusz Różewicz"
"George Orwell","Thomas Pynchon"
"Julio Cortázar","Thomas Pynchon"
"Montesquieu","United States Constitution"
"Louise Nevelson","Willem de Kooning"
"Kenneth Arrow","Amartya Sen"
"Jules Verne","William Golding"
"Louis Althusser","Étienne Balibar"
"George Orwell","Andrew Sullivan"
"John Updike","Ann Beattie"
"Juliusz Słowacki","Antoni Lange"
"George Orwell","Chris Hedges"
"Henry David Thoreau","Christopher McCandless"
"Jack London","Christopher McCandless"
"Moses Mendelssohn","David Friedländer"
"Michel de Montaigne","Eric Hoffer"
"Lucian","Giacomo Leopardi"
"Paul Goodman","Ivan Illich"
"Niccolò Machiavelli","James Harrington"
"Nizami Ganjavi","Jami"
"Mort Sahl","Jay Leno"
"George Orwell","Johann Hari"
"Nizami Ganjavi","Khwaju Kermani"
"Louise Nevelson","Lee Bontecou"
"Ludwig von Mises","Lew Rockwell"
"Jules Verne","Marcel Aymé"
"Mateiu Caragiale","Mircea Cărtărescu"
"Michel de Montaigne","Ralph Waldo Emerson"
"Lysander Spooner","Randy Barnett"
"Philip K. Dick","Rodrigo Fresán"
"Kenneth Arrow","Roger Myerson"
"Laura Ingalls Wilder","Rose Wilder Lane"
"Max Stirner","Saul Newman"
"J. D. Salinger","Stephen Chbosky"
"Juliusz Słowacki","Tadeusz Miciński"
"Gottfried Wilhelm Leibniz","Émilie du Châtelet"
"Louis Althusser","Anthony Giddens, Baron Giddens"
"Niccolò Machiavelli","Antonio Negri"
"Julio Cortázar","Georges Perec"
"Pierre-Joseph Proudhon","Georges Sorel"
"Mihály Babits","Gyula Juhász"
"José Ortega y Gasset","José Antonio Primo de Rivera"
"Michael Moorcock","Mike Chinn"
"John Stuart Mill","Wilhelm Dilthey"
"José Ortega y Gasset","Xavier Zubiri"
"Herbert Marcuse","Norman O. Brown"
"P. F. Strawson","Arda Denkel"
"Maurice Sendak","Michael Buckley"
"Oskar R. Lange","Don Patinkin"
"Man Ray","Bill Brandt"
"Gottfried Wilhelm Leibniz","Olavo de Carvalho"
"Henryk Grossman","Paul Mattick"
"Percy Bysshe Shelley","Subramanya Bharathi"
"Leslie Comrie","Wallace John Eckert"
"Joan Robinson","Athanasios Asimakopulos"
"Gottfried Wilhelm Leibniz","George Holmes Howison"
"Karl Jaspers","Jeanne Hersch"
"Horace","Juan Boscán Almogáver"
"Mihail Sadoveanu","Eugeniu Botez"
"Pierre-Joseph Proudhon","Joseph Déjacque"
"P. F. Strawson","Keith Donnellan"
"Michael Moorcock","Richard Morgan"
"Karl Kautsky","Rudolf Hilferding"
"Max Stirner","Wolfi Landstreicher"
"Oskar R. Lange","Abba P. Lerner"
"Jules Verne","Andreas Embirikos"
"Louise Fitzhugh","Audrey Niffenegger"
"Hannah Arendt","Claude Lefort"
"Herman Melville","D. H. Lawrence"
"Lev Shestov","D. H. Lawrence"
"Kurt Vonnegut","Etgar Keret"
"Ludwig von Mises","Hans-Hermann Hoppe"
"J. D. Salinger","Philip Roth"
"Henryk Grossman","Chris Harman"
"Mort Sahl","Dick Gregory"
"H. G. Wells","Frank R. Paul"
"Herbert Marcuse","Gad Horowitz"
"Neil Gaiman","Guillermo del Toro"
"Jean-Jacques Rousseau","Juan José Castelli"
"Peter Singer","Peter Unger"
"P. F. Strawson","David Lewis"
"Jules Verne","Raymond Roussel"
"Moses Mendelssohn","Salomon Maimon"
"Ludwig von Mises","Jesús Huerta de Soto"
"Kurt Vonnegut","Jhonen Vasquez"
"Plotinus","Neoplatonism and Gnosticism"
"Michael Sandel","Richard David Precht"
"Hannah Arendt","Michael Marrus"
"Merton Miller","Richard Roll"
"Gottfried Wilhelm Leibniz","Bernardino Varisco"
"Leó Szilárd","James L. Tuck"
"Hannah Arendt","Robert Pogue Harrison"
"Jean-Baptiste Lamarck","Étienne Geoffroy Saint-Hilaire"
"Niccolò Machiavelli","Antonio Gramsci"
"Gottfried Wilhelm Leibniz","Gabriel Tarde"
"Luitzen Egbertus Jan Brouwer","Hermann Weyl"
"Herman Melville","Jack Kerouac"
"Jack London","Jack Kerouac"
"Jan Hus","Jerome of Prague"
"Ludwig von Mises","John Hicks"
"Ludwig Feuerbach","Leconte de Lisle"
"Gottfried Wilhelm Leibniz","Lyndon LaRouche"
"Ludwig von Mises","Maurice Allais"
"Karl Jaspers","Paul Ricœur"
"Horace","Pierre de Ronsard"
"Max Stirner","Rudolf Steiner"
"Hannah Arendt","Zygmunt Bauman"
"Jules Verne","René Barjavel"
"Hannah Arendt","Michael Jackson"
"Jean-Paul Sartre","Michael Jackson"
"Jean-Baptiste Biot","William Ritchie"
"Jean-Jacques Rousseau","Michel Clouscard"
"Lawren Harris","Canadian Group of Painters"
"Pierre-Joseph Proudhon","Antero de Quental"
"Jules Verne","Donald G. Payne"
"Isadora Duncan","Edward Gordon Craig"
"Hannah Arendt","J. G. A. Pocock"
"Gertrude Stein","Language poets"
"Joan Robinson","Nicholas Kaldor"
"Hannah Arendt","Richard Sennett"
"John Stuart Mill","Zechariah Chafee"
"Nizami Ganjavi","Ahmad Khani"
"Horace","Garcilaso de la Vega"
"Margaret Atwood","Graeme Gibson"
"Louis Althusser","Nicos Poulantzas"
"Ludwig von Mises","Henry Calvert Simons"
"Kurt Vonnegut","Carlton Mellick III"
"Kurt Vonnegut","David Louis Edelman"
"Jack London","Scott Sigler"
"Kurt Vonnegut","James Rivera"
"Max Stirner","Peter Lamborn Wilson"
"Lawren Harris","Robert Genn"
"Ovid","Gualterus Anglicus"
"Jean-Paul Sartre","Ivan Soll"
"Jules Verne","Alberto Santos-Dumont"
"Jaroslav Hašek","Bohumil Hrabal"
"Herman Melville","Cormac McCarthy"
"George Orwell","Cory Doctorow"
"Paul Gauguin","Edvard Munch"
"Nikolai Gogol","Eugene Hütz"
"Jean-Paul Sartre","Frantz Fanon"
"Ovid","Geoffrey Chaucer"
"Jean-Jacques Rousseau","Jacques Derrida"
"Jorge Luis Borges","Jacques Derrida"
"Martin Heidegger","Jacques Derrida"
"Ludwig von Mises","James M. Buchanan"
"Leopold Staff","Jan Lechoń"
"Pío Baroja","John Dos Passos"
"Ovid","John Milton"
"Margaret Atwood","Kazuo Ishiguro"
"Jean-Jacques Rousseau","Mary Shelley"
"Martin Heidegger","Maurice Blanchot"
"Gottfried Wilhelm Leibniz","Pierre Louis Maupertuis"
"Philip K. Dick","Slavoj Žižek"
"Maksim Bahdanovič","Uladzimir Karatkievich"
"Ludwig von Mises","Vernon L. Smith"
"Jules Verne","Wernher von Braun"
"Max Stirner","Herbert Read"
"J. D. Salinger","Igor Štiks"
"H. G. Wells","John Wyndham"
"Herbert Marcuse","Paulo Freire"
"Pierre-Joseph Proudhon","Édouard Depreux"
"Michael Moorcock","Carter Kaplan"
"John Stuart Mill","A. C. Grayling"
"José Ortega y Gasset","Alain de Benoist"
"Kenneth Arrow","Anthony Downs"
"Mateiu Caragiale","Ion Barbu"
"George Orwell","Raoul Vaneigem"
"Nizami Ganjavi","Vahshi Bafqi"
"Herbert Marcuse","William Leiss"
"José Ortega y Gasset","Graham Harman"
"Ludwig von Mises","Alfred Schütz"
"Kenneth Arrow","Allan Gibbard"
"Jean-Paul Sartre","André Gorz"
"Hannah Arendt","Benjamin Barber"
"Max Stirner","Carl Schmitt"
"Hannah Arendt","Charles Taylor"
"Meister Eckhart","Eckhart Tolle"
"John Updike","Ethan Canin"
"Jean-Paul Sartre","Georges Bataille"
"Hannah Arendt","Hanna Fenichel Pitkin"
"Joseph Stiglitz","Jason Furman"
"Ludwig Feuerbach","Joseph Dietzgen"
"Max Stirner","Julius Evola"
"Henri Poincaré","Louis Rougier"
"Horace","Luis de León"
"Jean-Jacques Rousseau","Paul de Man"
"Hannah Arendt","Philip Pettit"
"Jürgen Habermas","Reinhart Maurer"
"Jorge Luis Borges","Ricardo Piglia"
"John Updike","Richard Ford"
"Paul Samuelson","Stanley Fischer"
"Martin Heidegger","Susan Bordo"
"Niccolò Machiavelli","Thomas Schelling"
"M. C. Escher","Victor Stabin"
"Kurt Vonnegut","Syed Manzoorul Islam"
"Mihai Eminescu","Romanian literature"
"Nizami Ganjavi","Saadi Shirazi"
"Kenneth Arrow","Eric Maskin"
"Michel de Montaigne","Jean-François Lyotard"
"Ludwig von Mises","Joseph Schumpeter"
"Gottfried Wilhelm Leibniz","Louis Gabriel Ambroise de Bonald"
"Nicolas Malebranche","Louis Gabriel Ambroise de Bonald"
"Merton Miller","Myron Scholes"
"Marko Marulić","Petar Zoranić"
"Heinrich Schliemann","V. Gordon Childe"
"Hafez","Maula Shah"
"Louis Althusser","Stephen Resnick"
"Lev Vygotsky","Vygotsky Circle"
"Gottfried Wilhelm Leibniz","Leo Frobenius"
"Meister Eckhart","Henry Suso"
"José Ortega y Gasset","María Zambrano"
"Jules Verne","Simon Lake"
"J. D. Salinger","Alberto Fuguet"
"Hannah Arendt","Elisabeth Young-Bruehl"
"Peter Singer","Roger Crisp"
"Jean-Jacques Rousseau","Maximilien de Robespierre"
"Herbert Marcuse","Andrew Feenberg"
"Jürgen Habermas","Andrew Feenberg"
"Matthew Arnold","George Saintsbury"
"Nizami Ganjavi","Jamali"
"Jürgen Habermas","Nikolas Kompridis"
"Jean-Paul Sartre","Frithjof Bergmann"
"Hannah Arendt","Giorgio Agamben"
"Martin Heidegger","Giorgio Agamben"
"Michel Foucault","Giorgio Agamben"
"Niccolò Machiavelli","Kenneth Waltz"
"Kitaro Nishida","Kuki Shūzō"
"Jean-Jacques Rousseau","Maine de Biran"
"Merton Miller","Michael Jensen"
"Hannah Arendt","Paolo Flores d'Arcais"
"Philip K. Dick","Charlie Kaufman"
"Matthew Arnold","Don Cupitt"
"John Updike","Nicholson Baker"
"Pierre Bayle","Pierre des Maizeaux"
"Hannah Arendt","Dolf Sternberger"
"Hannah Arendt","Reinhart Koselleck"
"Plotinus","Julian"
"Ludwig von Mises","Ludwig Lachmann"
"Margaret Atwood","Jack Henderson"
"José Ortega y Gasset","Julián Marías"
"John Updike","Joseph O'Neill"
"Henry David Thoreau","Mahatma Gandhi"
"LeRoy Bailey Jr.","Bishop Paul S Morton"
"LeRoy Bailey Jr.","Churches Covered and Connected in Covenant"
"Nizami Ganjavi","Maktabi Shirazi"
"Nizami Ganjavi","Salman Saveji"
"Gottfried Wilhelm Leibniz","Gabriel Wagner"
"Mateiu Caragiale","Radu Albala"
"Mateiu Caragiale","Ştefan Agopian"
"Mihail Sadoveanu","Al. Lascarov-Moldovanu"
"Mateiu Caragiale","Alexandru George"
"Joan Robinson","Amit Bhaduri"
"Mateiu Caragiale","Anatol Moraru"
"Mihail Sadoveanu","Damian Stănoiu"
"Mihail Sadoveanu","Dumitru D. Pătrăşcanu"
"Mihail Sadoveanu","Dumitru Vacariu"
"Mateiu Caragiale","Fănuş Neagu"
"Mateiu Caragiale","Florin Şlapac"
"Mateiu Caragiale","Ion Iovan"
"Kitaro Nishida","Kimura Bin"
"Kitaro Nishida","Morita Shiryu"
"Kitaro Nishida","Nakamura Yujiro"
"Mihail Sadoveanu","Nicolae N. Beldiceanu"
"Mateiu Caragiale","Radu Macrinici"
"Mateiu Caragiale","Sărmanul Klopştock"
"Mateiu Caragiale","Sandu Tudor"
"Mateiu Caragiale","Taşcu Gheorghiu"
"Mateiu Caragiale","Virgiliu Stoenescu"
"Joan Robinson","Zenobia Knakiewicz"
"Jules Verne","Michel Carrouges"
"P. F. Strawson","Robert Hanna"
"Kurt Goldstein","Alexander Luria"
"T. S. Eliot","Allen Tate"
"Sigmund Freud","Anna Freud"
"Richard Adolf Zsigmondy","August Kundt"
"Félix Guattari","Brian Massumi"
"Werner Heisenberg","Carl Friedrich von Weizsäcker"
"Terry Pratchett","Catherine Webb"
"Vilfredo Pareto","Chester Barnard"
"Theatrical Productions of André Antoine","Constantin Stanislavski"
"Owen Barfield","David Bohm"
"Thomas Reid","David Hartley"
"Rowan Atkinson","David Walliams"
"Juan Tyrone Garcia","Donnie Yen"
"Robert Koch","Friedrich Loeffler"
"Vilfredo Pareto","Gaetano Mosca"
"Thomas Robert Malthus","Garrett Hardin"
"Julia de Burgos","Giannina Braschi"
"William S. Burroughs","Grant Morrison"
"T. S. Eliot","Hart Crane"
"William Blake","Hart Crane"
"William S. Burroughs","Hunter S. Thompson"
"Ibn Qayyim Al-Jawziyya","Ibn Kathir"
"Truman Capote","James Robert Baker"
"Iain Baxter&","Jeff Wall"
"Vladimir Nabokov","John Banville"
"Arthur Quiller-Couch","John Mortimer"
"William of Ockham","John Wycliffe"
"Dragotin Kette","Josip Murn"
"Sigmund Freud","Julia Kristeva"
"William S. Burroughs","Kathy Acker"
"Ursula K. Le Guin","Kelly Link"
"William S. Burroughs","Ken Kesey"
"Barron Storey","Kent Williams"
"Sigmund Freud","Lionel Trilling"
"Hanibal Lucić","Ljudevit Gaj"
"Steven Wright","Louis C.K."
"Ritwik Ghatak","Mani Kaul"
"Margaret Laurence","Marian Engel"
"William Merritt Chase","Marsden Hartley"
"Félix Guattari","Michael Hardt"
"Ritwik Ghatak","Mira Nair"
"Sigmund Freud","Otto Rank"
"Ursula K. Le Guin","Paolo Bacigalupi"
"Steve Martin","Patton Oswalt"
"Thomas Hardy","Philip Larkin"
"Stanley Elkin","Rick Moody"
"Richard Rorty","Robert Brandom"
"Werner Heisenberg","Robert Döpel"
"Roger Zelazny","Robert Silverberg"
"Iain Baxter&","Rodney Graham"
"Sigmund Freud","Salvador Dalí"
"Juan Tyrone Garcia","Sammo Hung"
"William Blake","Samuel Palmer"
"Denis Johnson","Scott Snyder"
"Henry Vaughan","Siegfried Sassoon"
"Dragotin Kette","Srečko Kosovel"
"Ursula K. Le Guin","Susanna Clarke"
"T. S. Eliot","Ted Hughes"
"Robert A. Heinlein","Tom Clancy"
"Ronald Fisher","W. D. Hamilton"
"Roger Zelazny","Walter Jon Williams"
"Julian Rotter","Walter Mischel"
"Sigmund Freud","Wilhelm Stekel"
"William S. Burroughs","Will Self"
"Steven Wright","Zach Galifianakis"
"Voltaire","A. J. Ayer"
"William S. Burroughs","Alan Moore"
"Thomas Henry Huxley","Aldous Huxley"
"William Blake","Aldous Huxley"
"Voltaire","Alexander Pushkin"
"Socrates","Aristippus"
"Walter Scott","Arthur Conan Doyle"
"Writings of Marcus Tullius Cicero","Augustine of Hippo"
"William Camden","Ben Jonson"
"William Blake","Bob Dylan"
"William S. Burroughs","Brian Eno"
"Kurt Goldstein","Carl Rogers"
"Dorothy Scarborough","Carson McCullers"
"Willard Van Orman Quine","Daniel Dennett"
"Vladimir Nabokov","Daniel Handler"
"Vincent van Gogh","Emil Nolde"
"Richard Avenarius","Ernst Mach"
"R. D. Blackmore","F. Scott Fitzgerald"
"Sherwood Anderson","F. Scott Fitzgerald"
"Thomas Reid","G. E. Moore"
"Sigmund Freud","Gilles Deleuze"
"Félix Guattari","Gilles Deleuze"
"Angelo Genocchi","Giuseppe Peano"
"Theognostus of Alexandria","Gregory of Nyssa"
"Victor Hugo","Gustave Flaubert"
"Truman Capote","Harper Lee"
"Ludwig Börne","Heinrich Heine"
"Writings of Marcus Tullius Cicero","John Adams"
"Sherwood Anderson","John Fante"
"William Merritt Chase","John Marin"
"Thomas Robert Malthus","Karl Marx"
"Voltaire","Karl Marx"
"William Petty","Karl Marx"
"Ludwig Börne","Karl Marx"
"William S. Burroughs","Kurt Cobain"
"Sigmund Freud","Maurice Merleau-Ponty"
"Kurt Goldstein","Maurice Merleau-Ponty"
"Ka'ab al-Ahbar","Muawiyah I"
"Vladimir Nabokov","Nick Cave"
"Henry Vaughan","Nick Drake"
"Thomas Bernhard","Orhan Pamuk"
"Victor Hugo","Oscar Wilde"
"Tristan Tzara","Paul Éluard"
"Gustav Falke","Paul Heyse"
"Zeno of Elea","Protagoras"
"Proclus","Pseudo-Dionysius the Areopagite"
"Thales","Pythagoras"
"Ronald Fisher","Richard Dawkins"
"Rudyard Kipling","Roald Dahl"
"Friedrich Adolf Trendelenburg","Søren Kierkegaard"
"Rowan Atkinson","Sacha Baron Cohen"
"Stendhal","Saul Bellow"
"Owen Barfield","Saul Bellow"
"Robert Frost","Seamus Heaney"
"T. S. Eliot","Seamus Heaney"
"Virgil","Seamus Heaney"
"Volodymyr Ivasyuk","Sofia Rotaru"
"Samuel Beckett","Theodor W. Adorno"
"Sigmund Freud","Theodor W. Adorno"
"William S. Burroughs","Tom Waits"
"Velimir Khlebnikov","Vladimir Mayakovsky"
"Thomas Hardy","W. H. Auden"
"Sherwood Anderson","William Faulkner"
"Thomas Bernhard","William Gaddis"
"William S. Burroughs","William Gibson"
"Thomas Paine","William Godwin"
"Thomas Reid","Alvin Plantinga"
"Michael Palmer","Ann Lauterbach"
"Guillaume-François Rouelle","Antoine-Augustin Parmentier"
"Richard Lewis","Artie Lange"
"Margaret Laurence","Carol Shields"
"Roger Zelazny","Catherynne M. Valente"
"Ray Bradbury","Charles L. Grant"
"Thomas Reid","Charles Sanders Peirce"
"Victoria, Lady Welby","Charles Sanders Peirce"
"Ursula K. Le Guin","Christopher Paolini"
"Tamora Pierce","Christopher Paolini"
"William Blake","Clive Barker"
"William S. Burroughs","Clive Barker"
"Michael Palmer","Cole Swensen"
"Jacques Ellul","Cornelius Castoriadis"
"Roger Zelazny","David A. Hargrave"
"Arthur Quiller-Couch","F. R. Leavis"
"Roderick Long","Gary Chartier"
"Willard Van Orman Quine","Gila Sher"
"Emil Carlsen","Guy Rose"
"Roger Zelazny","Harlan Ellison"
"Arthur Quiller-Couch","Helene Hanff"
"Sheridan Le Fanu","Henry James"
"George Seldes","I. F. Stone"
"F. Van Wyck Mason","Ian Fleming"
"Albert Chavannes","Ida Craddock"
"Jack Dee","Jack Whitehall"
"Roger Zelazny","Jane Lindskold"
"Stephen King","Jeaniene Frost"
"Vladimir Nabokov","Jeffrey Eugenides"
"Vladimir Nabokov","Joanna Newsom"
"Virgil","John Keats"
"Yevgeny Baratynsky","Joseph Brodsky"
"Ray Bradbury","Joss Whedon"
"Ray Bradbury","Kim Harrison"
"Jacques Ellul","Langdon Winner"
"Robert A. Heinlein","Larry Niven"
"Phil Solomon","Mark Pellington"
"Voltaire","Marquis de Sade"
"Ursula K. Le Guin","Michael Chabon"
"Vladimir Nabokov","Michael Chabon"
"Thomas Paine","Moncure D. Conway"
"George Seldes","Nat Hentoff"
"J. D. Beresford","Olaf Stapledon"
"William S. Burroughs","Paul Di Filippo"
"Thomas Robert Malthus","Paul R. Ehrlich"
"Nicholas Adontz","Peter Charanis"
"Stephen King","Peter David"
"William Blake","Ralph Vaughan Williams"
"Thomas Paine","Robert G. Ingersoll"
"T. S. Eliot","Russell Kirk"
"Robert A. Heinlein","Spider Robinson"
"Józef Hecht","Stanley William Hayter"
"Alexander Lernet-Holenia","Stefan Zweig"
"Dennis Potter","Steven Bochco"
"Roger Zelazny","Steven Brust"
"Robert F. Engle","Tim Bollerslev"
"Stanley Elkin","Tim O'Brien"
"Velimir Khlebnikov","Vadim Shershenevich"
"Thomas Reid","William Alston"
"Richard Avenarius","William James"
"Thomas Reid","William James"
"Walter of Bruges","Matthew of Aquasparta"
"Sigmund Freud","Melanie Klein"
"William John Macquorn Rankine","Pierre Duhem"
"Thomas Reid","Roderick Chisholm"
"Sigmund Freud","Elizabeth Grosz"
"Sigmund Freud","Fritz Perls"
"Kurt Goldstein","Fritz Perls"
"Kurt Goldstein","Georges Canguilhem"
"William Wollaston","John Clarke"
"Thomas Robert Malthus","Raynold Kaufgetz"
"Reg Hartt","Le Patin Libre"
"Stephen Lynch","Bo Burnham"
"Steven Wright","Jimmy Carr"
"Roger Zelazny","Jo Walton"
"Harry Enfield","Kathy Burke"
"Rowan Atkinson","Steve Pemberton"
"Tobias Wolff","Tucker Max"
"Frederic M. Richards","Jane S. Richardson"
"Raymond Aron","Stanley Hoffmann"
"Bénédict Morel","Valentin Magnan"
"William Blake","Kahlil Gibran"
"Margaret Laurence","Adele Wiseman"
"Velimir Khlebnikov","Aleksei Kruchenykh"
"Edmund John","Algernon Charles Swinburne"
"Robert A. Heinlein","Allen Steele"
"Dragotin Kette","Alojz Gradnik"
"Dragotin Kette","Alojz Rebula"
"Edvard Kocbek","Boris Pahor"
"Tristan Tzara","Brion Gysin"
"Sigmund Freud","Carol Gilligan"
"Thomas Bernhard","Claire Messud"
"Ray Bradbury","Dean Koontz"
"Robert Frost","Edward Thomas"
"Goh Sin Tub","Edwin Thumboo"
"Ivan Cankar","Fulvio Tomizza"
"Meary James Thurairajah Tambimuttu","George Barker"
"Owen Barfield","Howard Nemerov"
"Faiz Ahmad Faiz","Ibn-e-Insha"
"Victor Hugo","Irvine Welsh"
"William S. Burroughs","Irvine Welsh"
"Dragotin Kette","Ivan Minatti"
"Sigmund Freud","Jane Gallop"
"Thomas Bernhard","Javier Marías"
"Vladimir Nabokov","Javier Marías"
"Robert A. Heinlein","Jerry Pournelle"
"Thomas Hardy","John Fowles"
"William Blake","John Gardner"
"William H. Gass","John Gardner"
"Rudyard Kipling","John W. Campbell"
"Elisabeth Elliot","Joshua Harris"
"Dragotin Kette","Kajetan Kovič"
"William March","Larry Heinemann"
"Meary James Thurairajah Tambimuttu","Lawrence Durrell"
"Sylvia Plath","Louise Glück"
"Julia de Burgos","Manuel Ramos Otero"
"Carlos Pezoa Véliz","Nicanor Parra"
"Julia de Burgos","Pedro Pietri"
"Dennis Potter","Peter Bowker"
"William S. Burroughs","Poppy Z. Brite"
"Idries Shah","Robert E. Ornstein"
"R. D. Blackmore","Robert Louis Stevenson"
"Roger Zelazny","Samuel R. Delany"
"Roger Zelazny","Steven Erikson"
"William Blake","W. S. Merwin"
"Raymond Aron","Raymond Boudon"
"Sigmund Freud","Ernest Jones"
"Meary James Thurairajah Tambimuttu","Nicholas Moore"
"Ronald Fisher","Georg Rasch"
"Tristan Tzara","Sașa Pană"
"Steven Wright","Billy Connolly"
"Gustav Falke","Detlev von Liliencron"
"Robert Sugden","Gui"
"Albert Chavannes","John William Lloyd"
"Frederic M. Richards","Thomas A. Steitz"
"Tobias Wolff","Laura Moriarty"
"Mildred Valley Thornton","Unity Bainbridge"
"Alexander Lernet-Holenia","Ödön von Horváth"
"Michael Palmer","Norma Cole"
"Willard Van Orman Quine","Patricia Churchland"
"Raymond Aron","Pierre Bourdieu"
"Tobias Wolff","Tom Perrotta"
"Tristan Tzara","Vicente Huidobro"
"Richard Rorty","Gianni Vattimo"
"Stanley Elkin","Sam Lipsyte"
"George Patrick Leonard Walker","Bruce Houghton"
"Robin Blaser","BpNichol"
"Robin Blaser","Daphne Marlatt"
"Augustus Le Plongeon","James Churchward"
"Soupy Sales","Pee-wee Herman"
"Roman Jakobson","Nicolas Ruwet"
"Sigmund Freud","Ranjana Khanna"
"Ritwik Ghatak","Kumar Shahani"
"Richard Avenarius","Anatoly Lunacharsky"
"Victor Hugo","Ayn Rand"
"Tristan Tzara","Bruno Jasieński"
"Sherwood Anderson","Charles Bukowski"
"John LeKay","Damien Hirst"
"Tristan Tzara","Eugène Ionesco"
"Voltaire","Frederick the Great"
"Augustus Le Plongeon","Helena Blavatsky"
"Ursula K. Le Guin","Iain Banks"
"Roman Jakobson","Jacques Lacan"
"Sigmund Freud","Jacques Lacan"
"William S. Burroughs","John Zorn"
"Raymond Aron","Marc Fumaroli"
"Owen Barfield","Marshall McLuhan"
"William S. Burroughs","Norman Mailer"
"Velimir Khlebnikov","Vasily Kamensky"
"Henry Vaughan","William Wordsworth"
"Vincent van Gogh","Émile Bernard"
"Ronald Fisher","A. W. F. Edwards"
"Stephen Colbert","Aasif Mandvi"
"William Petty","Adam Smith"
"Joseph Butler Joseph Butler 1","Adam Smith"
"Richard Avenarius","Alexander Bogdanov"
"R. K. Narayan","Alexander McCall Smith"
"Thomas Robert Malthus","Alfred Russel Wallace"
"Stendhal","Alice Munro"
"Margaret Laurence","Alice Munro"
"William Eggleston","Andreas Gursky"
"William Thomson, 1st Baron Kelvin","Andrew Gray"
"Vladimir Nabokov","Anthony Burgess"
"Steven Wright","Anthony Jeselnik"
"Guillaume-François Rouelle","Antoine Lavoisier"
"Sigmund Freud","Arthur Janov"
"Jyotirao Phule","B. R. Ambedkar"
"Sigmund Freud","Camille Paglia"
"Thomas Robert Malthus","Charles Darwin"
"Sheridan Le Fanu","Charles Dickens"
"Victor Hugo","Charles Dickens"
"Sheridan Le Fanu","Charlotte Brontë"
"William Makepeace Thackeray","Charlotte Brontë"
"Ursula K. Le Guin","China Miéville"
"Robert Moray","Christiaan Huygens"
"George Seldes","Colman McCarthy"
"Proclus","Damascius"
"Tom Davis","Dan Aykroyd"
"Richard Wilbur","Dana Gioia"
"Virgil","Dante Alighieri"
"Vladimir Nabokov","David Cronenberg"
"William S. Burroughs","David Cronenberg"
"David Markson","David Foster Wallace"
"Tobias Wolff","David Sedaris"
"Roman Jakobson","Dell Hymes"
"Steven Wright","Demetri Martin"
"Guillaume-François Rouelle","Denis Diderot"
"William S. Burroughs","Dennis Cooper"
"Vladimir Nabokov","Don DeLillo"
"William Blake","E. P. Thompson"
"Stephen Colbert","Ed Helms"
"Ray Lankester","Edwin Stephen Goodrich"
"Reg Hartt","Emo Philips"
"Stendhal","Émile Zola"
"Sigmund Freud","Eric Kandel"
"T. S. Eliot","Ezra Pound"
"Victor Hugo","Fyodor Dostoyevsky"
"Victor Hugo","Albert Camus"
"Theophrastus","Alexander of Aphrodisias"
"Hans Vaihinger","Alfred Adler"
"Vilfredo Pareto","Alfred Marshall"
"Thales","Anaximander"
"Jacques Ellul","Greg Boyd"
"Truman Capote","Andy Warhol"
"Yevgeny Baratynsky","Anna Akhmatova"
"Socrates","Antisthenes"
"Sigmund Freud","Harold Bloom"
"Owen Barfield","Harold Bloom"
