"Giannina Braschi","Roberto Bolaño"
"Lucy Maud Montgomery","Stephenie Meyer"
"Alan Moore","Tim Burton"
"David Hartley","William Wordsworth"
"Yayoi Kusama","Yoko Ono"
"Alexander Pushkin","Aleksandr Solzhenitsyn"
"Maya Deren","Anaïs Nin"
"Otto Rank","Anaïs Nin"
"Redd Foxx","Andrew Dice Clay"
"Brian O'Nolan","Anthony Burgess"
"Alexander Pushkin","Anton Chekhov"
"Richard Swinburne","Antony Flew"
"John Evans","Arthur Evans"
"Emerich de Vattel","Benjamin Franklin"
"W. D. Ross","Bernard Gert"
"Alan Moore","Brian Azzarello"
"Rip Taylor","Carrot Top"
"Claude Adrien Helvétius","Cesare Beccaria"
"Tobias Smollett","Charles Dickens"
"Vic Reeves","Charlie Higson"
"Robert Southey","Charlotte Brontë"
"Gene Wolfe","China Miéville"
"Chris Rock","Christian Finnegan"
"Aldous Huxley","Christopher Isherwood"
"Allen Tate","Cleanth Brooks"
"Rodney Dangerfield","Conan O'Brien"
"Kyriakos Charalambides","Constantine P. Cavafy"
"Nicholas Georgescu-Roegen","Cutler J. Cleveland"
"Donald Barthelme","Dave Eggers"
"Jack Smith","David Byrne"
"Donald Barthelme","David Foster Wallace"
"Hunter S. Thompson","David Foster Wallace"
"Richard Hofstadter","David M. Potter"
"John Colet","Desiderius Erasmus"
"Richard Brautigan","Don Carpenter"
"Brian O'Nolan","Dylan Moran"
"Redd Foxx","Eddie Murphy"
"Aristippus","Epicurus"
"Christoph von Sigwart","F. H. Bradley"
"Alexis de Tocqueville","Friedrich Hayek"
"Vissarion Belinsky","Fyodor Dostoyevsky"
"Alexander Pushkin","Fyodor Dostoyevsky"
"Tudor Arghezi","Gala Galaction"
"Alexander Pushkin","Adam Mickiewicz"
"Chris Rock","George Lopez"
"James Joseph Sylvester","George Salmon"
"Gunnar Nordström","Albert Einstein"
"Alexander Pushkin","Alexander Blok"
"Charles Grafton Page","Alexander Graham Bell"
"William Stanley Jevons","Alfred Marshall"
"Ben Shahn","Andy Warhol"
"Jack Smith","Andy Warhol"
"Wilhelm von Gloeden","Andy Warhol"
"Yayoi Kusama","Andy Warhol"
"Alexander Pushkin","Anna Akhmatova"
"Hans Jonas","Harold Bloom"
"Hart Crane","Harold Bloom"
"Henri-Edmond Cross","Henri Matisse"
"Friedrich Albert Lange","Hermann Cohen"
"Alexius Meinong","Bertrand Russell"
"Christoph von Sigwart","Bertrand Russell"
"Alfred North Whitehead","Bertrand Russell"
"Richard Hofstadter","Howard Zinn"
"Robert Morison","Carl Linnaeus"
"Bruce Sterling","Charles Stross"
"Neal Stephenson","Charles Stross"
"Ion Creangă","Ion Călugăru"
"Amy Hempel","Chuck Palahniuk"
"Ken Kesey","Chuck Palahniuk"
"Émile Durkheim","Claude Lévi-Strauss"
"Alexander Pushkin","Ivan Goncharov"
"Vissarion Belinsky","Ivan Turgenev"
"Alexander Pushkin","Ivan Turgenev"
"Georg Henrik von Wright","Jaakko Hintikka"
"Seebohm Rowntree","David Lloyd George"
"Jack Smith","David Lynch"
"Maya Deren","David Lynch"
"David Brin","James Wesley Rawles"
"Tom Clancy","James Wesley Rawles"
"Abbie Hoffman","Jello Biafra"
"Héctor-Neri Castañeda","John Perry"
"Amiri Baraka","John S. Hall"
"Hubert Dreyfus","John Searle"
"Émile Durkheim","Fernand Braudel"
"Jakob Böhme","Friedrich Wilhelm Joseph Schelling"
"Alexander Pushkin","Fyodor Tyutchev"
"Friedrich Heinrich Jacobi","Georg Wilhelm Friedrich Hegel"
"Jakob Böhme","Georg Wilhelm Friedrich Hegel"
"Tobias Smollett","George Orwell"
"Yevgeny Zamyatin","George Orwell"
"Aldous Huxley","George Orwell"
"Bernard Cornwell","George R. R. Martin"
"Jack Vance","George R. R. Martin"
"Emerich de Vattel","George Washington"
"Theodore Sturgeon","Kurt Vonnegut"
"Aldous Huxley","Kurt Vonnegut"
"Hans Jonas","Hannah Arendt"
"Émile Durkheim","Henri Bergson"
"Alexandre Dumas","Henryk Sienkiewicz"
"Chester Barnard","Herbert A. Simon"
"Owen Chase","Herman Melville"
"Jack Smith","Laurie Anderson"
"Alexander Pushkin","Leo Tolstoy"
"Clark Ashton Smith","Lloyd Kropp"
"Jack Smith","Lou Reed"
"John Wycliffe","Jan Hus"
"Aldous Huxley","Jim Morrison"
"Alexis de Tocqueville","John Stuart Mill"
"Alexandre Dumas","Jules Verne"
"Harold Hotelling","Kenneth Arrow"
"René Guénon","Marco Pallis"
"Aldous Huxley","Margaret Atwood"
"Hermann Ebbinghaus","Lev Vygotsky"
"Maximilian Voloshin","Marina Tsvetaeva"
"Alexander Pushkin","Marina Tsvetaeva"
"Friedrich Heinrich Jacobi","Martin Heidegger"
"Redd Foxx","Michael Douglas"
"J. M. E. McTaggart","Michael Dummett"
"Redd Foxx","Michael Jackson"
"Alexander Pushkin","Maxim Gorky"
"A. J. Ayer","Mihailo Marković"
"Alexander Pushkin","Mikhail Lermontov"
"Jack Vance","Michael Moorcock"
"Alexander Pushkin","Mihai Eminescu"
"Alexander Pushkin","Modest Mussorgsky"
"Alfred North Whitehead","Mordecai Kaplan"
