Company Name,Market Value-Mnthly[-10Y],Market Value-Mnthly[-9Y],Market Value-Mnthly[-8Y],Market Value-Mnthly[-7Y],Market Value-Mnthly[-6Y],Market Value-Mnthly[-5Y],Market Value-Mnthly[-4Y],Market Value-Mnthly[-3Y],Market Value-Mnthly[-2Y],Market Value-Mnthly[-1Y],Market Value-Mnthly[0Y],Price/Earnings - Monthly[-10Y],Price/Earnings - Monthly[-9Y],Price/Earnings - Monthly[-8Y],Price/Earnings - Monthly[-7Y],Price/Earnings - Monthly[-6Y],Price/Earnings - Monthly[-5Y],Price/Earnings - Monthly[-4Y],Price/Earnings - Monthly[-3Y],Price/Earnings - Monthly[-2Y],Price/Earnings - Monthly[-1Y],Price/Earnings - Monthly[0Y],Price/Cash Flow-Share Mtly[-10Y],Price/Cash Flow-Share Mtly[-9Y],Price/Cash Flow-Share Mtly[-8Y],Price/Cash Flow-Share Mtly[-7Y],Price/Cash Flow-Share Mtly[-6Y],Price/Cash Flow-Share Mtly[-5Y],Price/Cash Flow-Share Mtly[-4Y],Price/Cash Flow-Share Mtly[-3Y],Price/Cash Flow-Share Mtly[-2Y],Price/Cash Flow-Share Mtly[-1Y],Price/Cash Flow-Share Mtly[0Y],Price to Book[-10Y],Price to Book[-9Y],Price to Book[-8Y],Price to Book[-7Y],Price to Book[-6Y],Price to Book[-5Y],Price to Book[-4Y],Price to Book[-3Y],Price to Book[-2Y],Price to Book[-1Y],Price to Book[0Y],Beta[-10Y],Beta[-9Y],Beta[-8Y],Beta[-7Y],Beta[-6Y],Beta[-5Y],Beta[-4Y],Beta[-3Y],Beta[-2Y],Beta[-1Y],Beta[0Y],Return on Assets[-10Y],Return on Assets[-9Y],Return on Assets[-8Y],Return on Assets[-7Y],Return on Assets[-6Y],Return on Assets[-5Y],Return on Assets[-4Y],Return on Assets[-3Y],Return on Assets[-2Y],Return on Assets[-1Y],Return on Assets[0Y],Cash[-10Y],Cash[-9Y],Cash[-8Y],Cash[-7Y],Cash[-6Y],Cash[-5Y],Cash[-4Y],Cash[-3Y],Cash[-2Y],Cash[-1Y],Cash[0Y],Bad Debt Reserve[-10Y],Bad Debt Reserve[-9Y],Bad Debt Reserve[-8Y],Bad Debt Reserve[-7Y],Bad Debt Reserve[-6Y],Bad Debt Reserve[-5Y],Bad Debt Reserve[-4Y],Bad Debt Reserve[-3Y],Bad Debt Reserve[-2Y],Bad Debt Reserve[-1Y],Bad Debt Reserve[0Y],EBIT[-10Y],EBIT[-9Y],EBIT[-8Y],EBIT[-7Y],EBIT[-6Y],EBIT[-5Y],EBIT[-4Y],EBIT[-3Y],EBIT[-2Y],EBIT[-1Y],EBIT[0Y]
MOLSON COORS BREWING CO,"2,859.928 ","1,861.524 ","2,145.649 ","1,971.466 ","2,736.681 ","4,207.101 ","5,091.157 ","7,653.166 ","7,769.178 ","7,293.733 ","8,218.814 ",26.951 ,16.036 ,13.703 ,11.663 ,14.304 ,23.100 ,17.613 ,17.924 ,22.860 ,11.404 ,13.981 ,12.475 ,8.032 ,6.123 ,5.239 ,6.441 ,9.547 ,8.845 ,11.515 ,11.302 ,10.674 ,9.726 ,3.120 ,1.908 ,1.863 ,1.716 ,1.809 ,0.786 ,0.867 ,1.104 ,1.088 ,1.039 ,1.081 ,@NA,@NA,@NA,@NA,@NA,@NA,0.942 ,1.163 ,0.773 ,0.774 ,0.765 ,6.728 ,7.068 ,3.762 ,3.893 ,4.224 ,1.953 ,3.219 ,3.828 ,3.841 ,6.068 ,5.262 ,192.520 ,309.705 ,59.167 ,19.440 ,123.013 ,39.413 ,182.186 ,377.023 ,216.200 ,734.200 ,"1,217.600 ",0.109 ,0.084 ,1.991 ,1.626 ,1.550 ,1.555 ,1.638 ,1.360 ,1.732 ,1.767 ,1.339 ,165.841 ,174.779 ,304.552 ,299.671 ,340.903 ,567.441 ,658.499 ,753.263 ,600.300 ,404.700 ,429.700 
MONARCH CASINO & RESORT INC,44.821 ,75.488 ,130.092 ,104.141 ,381.413 ,426.665 ,455.153 ,459.687 ,187.821 ,130.613 ,201.725 ,47.500 ,16.326 ,15.088 ,10.931 ,23.040 ,20.179 ,20.586 ,18.813 ,20.804 ,27.000 ,24.510 ,4.279 ,5.415 ,7.322 ,5.297 ,15.261 ,15.127 ,14.962 ,13.584 ,8.702 ,7.264 ,9.624 ,1.637 ,2.416 ,3.339 ,2.218 ,6.187 ,5.174 ,4.137 ,3.343 ,1.795 ,1.167 ,1.659 ,@NA,@NA,@NA,@NA,@NA,@NA,0.449 ,1.241 ,1.576 ,1.916 ,1.808 ,0.760 ,3.801 ,7.323 ,8.290 ,13.965 ,17.876 ,15.956 ,15.867 ,5.228 ,2.606 ,4.582 ,6.784 ,8.386 ,9.961 ,9.711 ,11.814 ,12.886 ,36.985 ,38.837 ,11.757 ,14.420 ,13.801 ,27.617 ,20.267 ,24.578 ,22.379 ,18.825 ,21.952 ,27.709 ,21.649 ,36.086 ,51.232 ,42.121 ,9.551 ,14.132 ,17.195 ,17.210 ,26.273 ,33.509 ,34.692 ,35.688 ,14.686 ,10.509 ,14.447 
MONOLITHIC POWER SYSTEMS INC,@NA,@NA,@NA,@NA,248.161 ,423.213 ,336.466 ,706.277 ,425.449 ,836.577 ,592.093 ,@NA,@NA,@NM,@NM,@NM,83.278 ,@NM,58.027 ,17.514 ,42.053 ,19.904 ,@NA,@NA,@NA,@NA,@CF,113.632 ,67.381 ,160.596 ,11.982 ,33.900 ,15.588 ,@NA,@NA,@NA,@NA,(40.450),5.979 ,3.669 ,5.888 ,2.630 ,4.155 ,2.337 ,@NA,@NA,@NA,@NA,@NA,@NA,0.016 ,1.219 ,1.783 ,1.445 ,1.460 ,@NA,@NA,(17.045),(19.360),(6.772),5.068 ,(2.440),6.710 ,12.405 ,8.136 ,10.498 ,@NA,@NA,17.223 ,13.142 ,49.019 ,66.843 ,78.490 ,118.229 ,112.548 ,165.631 ,177.719 ,@NA,@NA,3.663 ,0.782 ,5.263 ,0.136 ,2.419 ,2.681 ,0.000 ,@NA,@NA,@NA,@NA,(3.295),(3.206),(5.235),11.501 ,5.527 ,18.974 ,22.507 ,13.174 ,30.498 
MONRO MUFFLER BRAKE INC,68.645 ,89.240 ,141.332 ,183.351 ,332.592 ,347.119 ,517.472 ,502.878 ,311.974 ,528.972 ,709.765 ,8.396 ,9.139 ,12.555 ,12.963 ,19.523 ,17.207 ,22.240 ,22.076 ,15.648 ,21.520 ,21.286 ,3.496 ,3.934 ,5.994 ,6.923 ,@CF,@CF,12.807 ,12.066 ,7.142 ,12.085 ,@SF,0.783 ,0.928 ,1.317 ,1.477 ,2.359 ,2.131 ,2.732 ,2.350 ,1.717 ,2.731 ,3.153 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,0.380 ,1.049 ,0.729 ,0.553 ,4.198 ,5.002 ,5.935 ,6.625 ,6.471 ,6.902 ,7.500 ,6.498 ,5.855 ,6.337 ,7.434 ,0.507 ,0.751 ,0.442 ,0.069 ,1.533 ,0.888 ,3.780 ,0.965 ,2.108 ,3.336 ,11.180 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,22.547 ,22.771 ,22.093 ,24.554 ,30.099 ,34.414 ,39.782 ,39.983 ,37.798 ,42.602 ,60.384 
MONSANTO CO,"6,900.938 ","8,723.408 ","5,032.104 ","6,732.806 ","9,773.188 ","17,149.723 ","25,750.527 ","38,040.449 ","62,837.727 ","45,791.266 ","28,454.693 ",39.798 ,29.391 ,39.286 ,71.417 ,36.238 ,108.203 ,36.775 ,41.023 ,31.216 ,21.844 ,25.936 ,@NA,9.703 ,10.376 ,@NA,16.884 ,24.151 ,21.056 ,23.848 ,25.464 ,16.924 ,17.742 ,1.035 ,1.195 ,0.971 ,@NA,1.801 ,2.934 ,3.916 ,4.797 ,6.154 ,4.253 ,2.691 ,@NA,@NA,@NA,@NA,@NA,@NA,1.454 ,1.199 ,1.069 ,0.742 ,0.896 ,1.492 ,2.599 ,1.451 ,0.846 ,2.957 ,1.484 ,5.952 ,7.102 ,11.156 ,11.736 ,6.185 ,131.000 ,307.000 ,678.000 ,511.000 ,"1,337.000 ",675.000 ,"1,482.000 ",866.000 ,"1,745.000 ","1,956.000 ","1,485.000 ",@NA,@NA,@NA,8.504 ,11.335 ,12.984 ,14.211 ,10.221 ,7.202 ,6.830 ,5.837 ,818.000 ,866.000 ,443.000 ,695.000 ,837.000 ,"1,015.000 ","1,175.000 ","1,629.000 ","2,885.000 ","3,613.000 ","1,931.000 "
MONSTER WORLDWIDE INC,"5,026.010 ","4,538.391 ","1,203.497 ","2,371.768 ","4,006.019 ","4,830.639 ","5,770.441 ","3,990.384 ","1,432.157 ","2,187.215 ","3,072.751 ",114.583 ,68.095 ,@NM,366.000 ,61.164 ,55.162 ,38.867 ,27.692 ,12.726 ,108.750 ,@NM,@CF,35.229 ,@CF,@CF,@CF,@CF,@CF,22.056 ,7.792 ,17.576 ,90.204 ,5.108 ,3.773 ,1.464 ,5.530 ,6.121 ,5.901 ,5.510 ,3.432 ,1.330 ,1.927 ,2.730 ,@NA,@NA,@NA,@NA,@NA,@NA,3.334 ,2.784 ,1.524 ,2.106 ,2.178 ,2.855 ,3.128 ,(6.532),0.652 ,4.814 ,6.326 ,7.797 ,7.082 ,5.974 ,1.036 ,(1.636),572.101 ,340.581 ,191.556 ,142.255 ,198.111 ,320.344 ,596.573 ,578.447 ,223.685 ,284.706 ,163.169 ,6.566 ,7.497 ,7.003 ,4.958 ,4.499 ,3.460 ,2.611 ,3.029 ,3.599 ,4.215 ,1.539 ,159.008 ,185.912 ,56.554 ,72.727 ,114.326 ,164.178 ,229.864 ,256.164 ,228.675 ,14.988 ,(4.807)
MOODY'S CORP,"4,174.219 ","6,218.160 ","6,238.919 ","9,009.840 ","12,845.115 ","18,143.469 ","19,322.988 ","9,224.880 ","4,817.582 ","6,338.200 ","6,215.668 ",26.212 ,29.526 ,21.963 ,24.816 ,30.367 ,32.670 ,26.060 ,13.574 ,10.630 ,15.765 ,12.287 ,24.190 ,29.605 ,21.139 ,23.765 ,30.437 ,31.934 ,29.145 ,10.309 ,8.791 ,14.023 ,11.554 ,(15.987),(21.036),(34.565),(99.887),87.086 ,36.462 ,499.302 ,(15.135),(5.390),(9.649),(20.200),@NA,@NA,@NA,@NA,@NA,@NA,0.340 ,1.345 ,1.478 ,1.278 ,1.327 ,39.794 ,41.987 ,45.799 ,38.655 ,30.894 ,38.485 ,50.337 ,40.913 ,25.804 ,20.067 ,19.990 ,119.100 ,163.200 ,39.900 ,269.100 ,606.100 ,580.500 ,483.500 ,441.000 ,253.000 ,483.900 ,672.300 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,288.500 ,406.900 ,541.000 ,663.100 ,786.400 ,949.000 ,"1,098.900 ","1,181.000 ",771.300 ,705.000 ,772.900 
MOOG INC  -CL A,279.634 ,305.457 ,438.532 ,665.979 ,937.309 ,"1,139.793 ","1,449.142 ","1,867.434 ","1,830.202 ","1,331.306 ","1,613.539 ",10.460 ,10.596 ,11.126 ,14.000 ,16.425 ,17.571 ,17.244 ,18.462 ,15.369 ,14.750 ,14.920 ,4.742 ,5.071 ,6.900 ,8.570 ,10.778 ,11.706 ,11.908 ,12.783 ,10.641 ,7.297 ,9.064 ,1.269 ,1.309 ,1.422 ,1.947 ,2.024 ,2.197 ,2.127 ,2.178 ,1.901 ,1.260 ,1.444 ,@NA,@NA,@NA,@NA,@NA,@NA,0.311 ,0.695 ,1.312 ,1.178 ,1.235 ,3.207 ,3.261 ,4.245 ,4.305 ,5.092 ,4.971 ,5.060 ,5.031 ,5.346 ,3.228 ,3.986 ,13.827 ,14.273 ,15.952 ,77.491 ,56.701 ,33.750 ,57.821 ,83.856 ,86.814 ,81.493 ,112.421 ,1.056 ,1.384 ,1.395 ,1.123 ,1.132 ,0.981 ,0.853 ,0.709 ,0.643 ,0.728 ,0.770 ,71.333 ,74.003 ,80.266 ,77.072 ,95.299 ,108.843 ,145.207 ,174.471 ,204.679 ,156.105 ,196.603 
MORGAN STANLEY,"71,729.219 ","60,868.070 ","49,113.539 ","59,870.617 ","55,549.578 ","60,412.473 ","80,638.102 ","55,968.223 ","15,678.547 ","40,256.750 ","41,183.250 ",12.803 ,16.869 ,16.391 ,15.616 ,11.941 ,11.342 ,12.166 ,21.173 ,8.994 ,@NM,10.972 ,@CF,@CF,@CF,@CF,@CF,10.732 ,@CF,@CF,@CF,@CF,@CF,3.949 ,3.092 ,2.290 ,2.525 ,2.026 ,2.140 ,2.438 ,1.639 ,0.452 ,1.095 ,0.871 ,@NA,@NA,@NA,@NA,@NA,@NA,1.636 ,1.828 ,1.934 ,1.330 ,1.368 ,1.270 ,0.741 ,0.564 ,0.628 ,0.581 ,0.578 ,0.667 ,0.239 ,0.257 ,(0.142),0.444 ,"118,448.000 ","127,540.000 ","144,533.000 ","136,423.000 ","192,594.000 ","243,874.000 ","225,037.000 ","214,093.000 ","210,519.000 ","198,911.000 ","215,048.000 ",@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,"26,667.000 ","26,463.000 ","16,802.000 ","18,901.000 ","21,704.000 ","32,179.000 ","52,937.000 ","60,383.000 ","36,858.000 ","6,395.000 ","12,168.000 "
MOTOROLA MOBILITY HLDGS INC,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NM,@NM,@NM,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,(41.426),(22.909),(1.386),@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,29.000 ,0.000 ,0.000 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,5.306 ,3.240 ,2.497 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,"(1,743.000)",(926.000),(144.000)
MOTOROLA SOLUTIONS INC,"44,233.410 ","33,430.539 ","20,575.383 ","33,500.770 ","41,872.402 ","56,267.059 ","49,703.082 ","36,640.508 ","10,039.904 ","17,932.926 ","21,308.885 ",33.197 ,@NM,@NM,36.842 ,18.495 ,12.344 ,15.459 ,@NM,@NM,@NM,82.454 ,11.687 ,"(3,039.140)",(11.983),14.041 ,13.955 ,12.221 ,11.179 ,31.696 ,27.356 ,@CF,@CF,2.141 ,2.340 ,1.819 ,2.803 ,3.024 ,3.569 ,2.900 ,2.436 ,0.685 ,1.828 ,2.041 ,@NA,@NA,@NA,@NA,@NA,@NA,1.210 ,1.153 ,1.925 ,1.825 ,1.708 ,3.113 ,(11.788),(7.977),2.782 ,7.093 ,12.901 ,8.450 ,(0.302),(15.228),(0.434),0.993 ,"3,655.000 ","6,162.000 ","6,566.000 ","8,016.000 ","10,708.000 ","14,785.000 ","15,640.000 ","8,606.000 ","6,979.000 ","7,963.000 ","8,863.000 ",@NA,4.620 ,5.091 ,4.889 ,3.894 ,1.488 ,0.873 ,2.845 ,4.202 ,3.486 ,2.622 ,"2,960.000 ",(613.000),828.000 ,"1,151.000 ","3,231.000 ","4,278.000 ","4,058.000 ",443.000 ,(126.000),293.000 ,781.000 
MOVADO GROUP INC,131.882 ,172.734 ,183.950 ,248.409 ,327.429 ,350.693 ,547.539 ,471.152 ,136.443 ,195.997 ,260.879 ,7.795 ,12.041 ,10.852 ,15.010 ,17.198 ,17.990 ,14.718 ,10.395 ,85.333 ,@NM,@NM,11.106 ,8.628 ,8.058 ,11.010 ,12.258 ,10.406 ,13.045 ,8.666 ,3.022 ,(8.663),38.672 ,0.881 ,0.998 ,0.858 ,0.978 ,1.069 ,1.118 ,1.503 ,1.097 ,0.322 ,0.489 ,0.699 ,@NA,@NA,@NA,@NA,@NA,@NA,0.891 ,1.484 ,1.680 ,1.791 ,1.678 ,7.151 ,5.891 ,5.812 ,5.845 ,5.516 ,4.840 ,8.680 ,9.409 ,0.410 ,(11.638),(4.805),23.059 ,16.971 ,38.365 ,82.083 ,63.782 ,123.625 ,133.011 ,169.551 ,86.621 ,70.975 ,103.016 ,4.303 ,4.236 ,5.252 ,6.976 ,6.240 ,5.982 ,@NA,@NA,@NA,@NA,@NA,34.132 ,28.973 ,31.776 ,34.781 ,37.076 ,47.530 ,50.108 ,65.777 ,14.512 ,(34.019),(12.865)
MSC INDUSTRIAL DIRECT  -CL A,551.184 ,638.646 ,475.561 ,754.045 ,"1,447.023 ","1,575.455 ","1,917.659 ","2,442.318 ","2,266.538 ","1,746.816 ","1,988.134 ",20.570 ,30.170 ,24.491 ,27.923 ,25.678 ,21.212 ,19.294 ,19.621 ,16.536 ,19.657 ,18.649 ,17.683 ,20.504 ,17.009 ,23.026 ,24.358 ,19.720 ,18.590 ,18.390 ,14.653 ,14.002 ,17.901 ,1.367 ,1.397 ,0.922 ,1.466 ,2.502 ,2.545 ,3.010 ,3.538 ,3.085 ,2.217 ,2.187 ,@NA,@NA,@NA,@NA,@NA,@NA,1.669 ,1.822 ,1.612 ,1.292 ,1.204 ,9.110 ,7.320 ,6.469 ,8.416 ,11.126 ,17.230 ,13.447 ,16.175 ,17.796 ,10.809 ,13.038 ,3.209 ,12.466 ,59.978 ,114.294 ,45.517 ,45.274 ,7.718 ,7.797 ,42.843 ,225.572 ,121.191 ,3.683 ,4.918 ,3.196 ,2.720 ,2.100 ,1.974 ,2.578 ,3.378 ,2.699 ,3.424 ,2.423 ,93.298 ,87.463 ,60.127 ,82.938 ,130.708 ,178.460 ,227.666 ,297.083 ,319.528 ,204.718 ,241.819 
MSCI INC,@NA,@NA,@NA,@NA,@NA,@NA,@NA,387.100 ,"1,116.314 ","3,152.853 ","4,045.510 ",@NA,@NA,@NA,@NA,@NA,@NA,@NA,33.313 ,22.691 ,38.088 ,41.537 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@CF,14.785 ,28.231 ,30.463 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,(4.505),4.084 ,8.542 ,3.912 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,1.349 ,1.461 ,@NA,@NA,@NA,@NA,@NA,@NA,5.695 ,8.966 ,6.726 ,6.815 ,3.049 ,@NA,@NA,@NA,@NA,@NA,@NA,354.593 ,171.443 ,268.077 ,471.328 ,300.466 ,@NA,@NA,@NA,@NA,@NA,@NA,1.560 ,1.933 ,0.807 ,1.086 ,0.681 ,@NA,@NA,@NA,@NA,@NA,@NA,83.296 ,129.345 ,135.790 ,150.992 ,236.225 
MTS SYSTEMS CORP,145.901 ,239.844 ,200.705 ,326.258 ,434.371 ,747.317 ,588.847 ,743.974 ,714.227 ,487.281 ,502.944 ,41.176 ,18.254 ,8.933 ,15.089 ,16.098 ,20.306 ,15.548 ,18.166 ,15.478 ,28.087 ,27.193 ,@CF,8.498 ,@SF,10.174 ,@CF,@CF,13.284 ,15.180 ,13.387 ,10.528 ,25.491 ,0.932 ,1.477 ,1.272 ,1.826 ,2.409 ,4.027 ,3.725 ,4.154 ,3.575 ,2.337 ,2.760 ,@NA,@NA,@NA,@NA,@NA,@NA,0.956 ,1.610 ,1.375 ,1.049 ,0.957 ,1.097 ,4.574 ,5.624 ,6.444 ,8.484 ,10.397 ,11.990 ,11.898 ,11.802 ,4.496 ,5.363 ,8.211 ,17.515 ,98.018 ,132.743 ,129.303 ,159.793 ,121.537 ,121.395 ,114.099 ,118.885 ,76.611 ,1.535 ,1.860 ,2.700 ,2.139 ,1.197 ,1.335 ,1.330 ,1.282 ,0.693 ,1.393 ,1.443 ,14.843 ,29.540 ,25.831 ,33.116 ,45.173 ,57.475 ,54.960 ,54.733 ,64.061 ,36.679 ,36.269 
MUELLER INDUSTRIES,895.859 ,"1,111.913 ",933.422 ,"1,177.448 ","1,170.245 ","1,004.504 ","1,173.154 ","1,074.891 ",931.496 ,935.127 ,"1,237.270 ",9.931 ,16.964 ,13.038 ,26.636 ,14.311 ,11.238 ,7.846 ,9.292 ,11.505 ,191.077 ,14.280 ,6.664 ,10.031 ,8.409 ,14.516 ,10.093 ,9.145 ,5.316 ,7.889 ,6.393 ,12.973 ,13.513 ,1.452 ,1.666 ,1.218 ,1.484 ,1.333 ,2.532 ,2.032 ,1.591 ,1.217 ,1.267 ,1.592 ,@NA,@NA,@NA,@NA,@NA,@NA,1.051 ,1.441 ,0.821 ,0.984 ,1.024 ,10.183 ,7.309 ,7.205 ,4.191 ,8.240 ,8.077 ,11.732 ,7.968 ,6.832 ,0.396 ,6.844 ,100.268 ,121.862 ,217.601 ,255.088 ,47.449 ,129.685 ,200.471 ,308.618 ,294.160 ,355.301 ,394.139 ,3.557 ,4.230 ,4.640 ,2.822 ,1.912 ,2.273 ,2.359 ,1.529 ,2.964 ,2.534 ,1.983 ,147.396 ,106.157 ,86.481 ,51.040 ,117.228 ,133.313 ,234.573 ,186.048 ,129.721 ,61.331 ,109.944 
MULTIMEDIA GAMES HOLDING CO,34.768 ,96.211 ,252.380 ,477.619 ,471.789 ,263.471 ,249.537 ,223.471 ,115.126 ,139.351 ,102.016 ,12.891 ,14.860 ,9.748 ,14.914 ,13.025 ,15.172 ,69.846 ,@NM,433.000 ,@NM,37.000 ,5.118 ,6.589 ,7.187 ,9.556 ,6.616 ,3.485 ,3.921 ,4.237 ,2.066 ,2.846 ,9.028 ,2.866 ,5.174 ,4.322 ,5.125 ,3.230 ,1.675 ,1.494 ,1.310 ,0.757 ,0.991 ,1.008 ,@NA,@NA,@NA,@NA,@NA,@NA,2.233 ,2.131 ,1.856 ,1.737 ,1.332 ,9.305 ,14.733 ,29.310 ,22.024 ,15.074 ,6.927 ,1.315 ,(0.290),0.136 ,(20.767),1.413 ,1.315 ,4.868 ,15.247 ,26.319 ,4.768 ,0.118 ,4.939 ,5.805 ,6.289 ,12.455 ,21.792 ,6.381 ,7.284 ,4.857 ,4.497 ,1.885 ,0.806 ,2.813 ,2.421 ,2.416 ,9.395 ,1.362 ,4.722 ,11.623 ,41.186 ,50.731 ,50.431 ,29.822 ,7.502 ,(4.589),7.431 ,(21.288),(10.239)
MURPHY OIL CORP,"2,722.891 ","3,807.768 ","3,926.774 ","5,999.115 ","7,402.124 ","10,016.818 ","9,511.849 ","16,056.648 ","8,448.010 ","10,348.515 ","14,340.960 ",8.914 ,11.576 ,40.047 ,21.555 ,14.926 ,11.892 ,14.696 ,20.794 ,4.821 ,13.969 ,17.921 ,5.422 ,5.987 ,@SF,10.924 ,9.870 ,8.158 ,8.577 ,14.322 ,3.288 ,6.901 ,6.459 ,2.295 ,2.548 ,2.534 ,3.162 ,2.973 ,3.024 ,2.340 ,3.290 ,1.296 ,1.489 ,1.800 ,@NA,@NA,@NA,@NA,@NA,@NA,0.444 ,0.310 ,1.013 ,0.887 ,0.999 ,9.749 ,10.153 ,2.509 ,6.391 ,9.094 ,13.157 ,8.572 ,7.275 ,15.607 ,5.805 ,5.607 ,132.701 ,82.652 ,164.957 ,252.425 ,553.417 ,585.333 ,543.390 ,673.707 ,"1,086.450 ","1,080.169 ","1,152.383 ",2.127 ,4.121 ,2.226 ,2.329 ,1.948 ,1.649 ,1.035 ,0.524 ,0.701 ,0.528 ,0.539 ,456.847 ,513.226 ,160.832 ,369.539 ,778.308 ,"1,250.522 ","1,126.239 ","1,310.529 ","2,790.822 ","1,258.235 ","1,520.587 "
MWI VETERINARY SUPPLY,@NA,@NA,@NA,@NA,@NA,210.233 ,386.836 ,453.566 ,473.562 ,484.234 ,712.207 ,@NA,@NA,@NA,@NA,@NA,43.370 ,26.195 ,26.399 ,23.812 ,19.393 ,21.143 ,@NA,@NA,@NA,@NA,@NA,20.102 ,26.815 ,24.972 ,21.792 ,17.829 ,19.993 ,@NA,@NA,@NA,@NA,@NA,25.305 ,3.920 ,2.919 ,2.705 ,2.421 ,3.047 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,0.828 ,0.871 ,0.827 ,0.652 ,@NA,@NA,@NA,1.321 ,1.722 ,2.421 ,6.001 ,6.316 ,6.327 ,7.370 ,7.146 ,@NA,@NA,@NA,0.036 ,0.028 ,0.031 ,0.037 ,8.599 ,3.419 ,14.302 ,0.911 ,@NA,@NA,@NA,1.084 ,0.937 ,1.509 ,1.146 ,0.777 ,0.678 ,2.066 ,1.339 ,@NA,@NA,@NA,10.155 ,12.580 ,17.771 ,23.692 ,26.710 ,32.351 ,40.463 ,55.308 
MYERS INDUSTRIES INC,313.026 ,325.512 ,321.621 ,365.394 ,440.934 ,506.888 ,549.071 ,509.026 ,281.888 ,321.030 ,343.968 ,13.063 ,21.328 ,13.375 ,22.444 ,16.842 ,26.036 ,19.098 ,13.781 ,@NM,45.500 ,@NM,@CF,@CF,5.422 ,6.721 ,7.311 ,@CF,@CF,8.268 ,@CF,@CF,7.973 ,1.542 ,1.486 ,1.303 ,1.313 ,1.372 ,1.504 ,2.054 ,1.627 ,0.869 ,1.252 ,1.312 ,@NA,@NA,@NA,@NA,@NA,@NA,0.438 ,1.634 ,1.824 ,2.586 ,2.390 ,3.841 ,2.609 ,3.977 ,2.626 ,3.273 ,3.494 ,4.337 ,5.297 ,(8.125),1.372 ,(9.906),2.178 ,7.075 ,1.702 ,5.667 ,8.019 ,19.159 ,6.637 ,7.559 ,10.417 ,4.728 ,4.705 ,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,63.271 ,45.939 ,52.171 ,34.722 ,50.526 ,54.943 ,60.922 ,60.001 ,43.463 ,41.899 ,26.338 
MYLAN INC,"3,229.544 ","3,707.865 ","5,284.020 ","6,095.550 ","4,770.968 ","4,925.442 ","5,174.227 ","4,251.631 ","3,013.493 ","5,631.913 ","9,196.178 ",86.167 ,14.232 ,19.558 ,18.331 ,23.316 ,29.250 ,20.931 ,@NM,@NM,59.452 ,30.623 ,40.633 ,13.123 ,17.208 ,16.179 ,16.775 ,23.215 ,11.407 ,18.395 ,(2.493),9.973 ,8.407 ,2.948 ,2.794 ,3.638 ,3.833 ,2.629 ,6.485 ,4.696 ,2.254 ,1.012 ,1.842 ,2.606 ,@NA,@NA,@NA,@NA,@NA,@NA,0.045 ,0.333 ,1.002 ,0.567 ,0.714 ,2.533 ,16.098 ,15.606 ,17.843 ,9.533 ,9.866 ,5.108 ,(10.165),(3.076),0.866 ,1.938 ,284.898 ,617.056 ,686.806 ,687.158 ,808.081 ,518.127 ,"1,426.572 ",575.563 ,639.716 ,456.040 ,715.109 ,@NA,4.264 ,4.305 ,3.027 ,2.409 ,4.327 ,4.145 ,4.043 ,2.257 ,1.790 ,2.024 ,166.578 ,395.179 ,411.618 ,460.043 ,294.481 ,320.726 ,540.551 ,334.929 ,937.776 ,852.569 ,929.042 
