"Karl Korsch","Frankfurt School"
"Karl Marx","M. N. Roy"
"Karl Marx","Michel Aflaq"
"Karl Marx","Che Guevara"
"Karl Marx","Gilles Deleuze"
"Karl Marx","Guy Debord"
"Karl Marx","Karl Korsch"
"Karl Marx","Pierre Bourdieu"
"Karl Marx","Simone de Beauvoir"
"Karl Marx","Joseph Stalin"
"Karl Marx","Herbert Marcuse"
"Karl Marx","Ho Chi Minh"
"Karl Marx","Leon Trotsky"
"Karl Marx","Jean-Paul Sartre"
"Karl Marx","Josip Broz Tito"
"Karl Marx","Mikhail Bakunin"
"Karl Marx","Peter Kropotkin"
"Karl Marx","Rosa Luxemburg"
"Karl Marx","Vladimir Lenin"
"Karl Marx","Fidel Castro"
"Karl Marx","Mao Zedong"
"Karl Marx","György Lukács"
"Karl Marx","Enver Hoxha"
"Karl Marx","Antonio Negri"
"Karl Marx","Ernst Bloch"
"Karl Marx","George Habash"
"Karl Marx","Michael Taussig"
"Karl Marx","Antonio Gramsci"
"Karl Marx","Huey P. Newton"
"Karl Marx","Ernesto Laclau"
"Karl Marx","Joseph Schumpeter"
"Karl Marx","Category"
"Karl Popper","Friedrich Hayek"
"Karl Robert Eduard von Hartmann","Sigmund Freud"
"Karl Robert Eduard von Hartmann","Hans Vaihinger"
"Karl Robert Eduard von Hartmann","Rudolf Steiner"
"Leucippus","Democritus"
"Lucretius","George Santayana"
"Lucretius","Cicero"
"Lucretius","Epicureanism"
"Lucretius","Ovid"
"Lucretius","Virgil"
"Maimonides","Thomas Aquinas"
"Maimonides","Baruch Spinoza"
"Maimonides","Gottfried Wilhelm Leibniz"
"Maimonides","Leo Strauss"
"Maimonides","James Joyce"
"Maimonides","Isaac Newton"
"Maimonides","Jean Bodin"
"Maimonides","Michael Friedländer"
"Martin Buber","Gabriel Marcel"
"Martin Buber","Walter Kaufmann"
"Martin Buber","Gershom Scholem"
"Martin Buber","Ludwig Binswanger"
"Martin Buber","Emil Brunner"
"Martin Buber","Franz Rosenzweig"
"Martin Buber","Nahum Norbert Glatzer"
"Martin Buber","Paul Tillich"
"Martin Buber","Ivan Böszörményi-Nagy"
"Martin Buber","Emmanuel Lévinas"
"Maurice Merleau-Ponty","David Abram"
"Michel Serres","Bruno Latour"
"Michel Serres","Ilya Prigogine"
"Michel Serres","Isabelle Stengers"
"Michel Serres","Pierre Lévy"
"Mortimer J. Adler","Olavo de Carvalho"
"Mortimer J. Adler","Benedict Ashley"
